Monetary,Cluster_KMeans,review_score,is_late,total_payment,churn_reel,score_churn,churn_predit,zone_risque
378.86,1,5.0,0,378.86,0,0.19391227,0,Vert — Faible risque
116.81,1,4.0,0,116.81,1,0.9993369,1,Rouge — Haut risque
75.08,1,4.0,0,75.08,1,0.99996877,1,Rouge — Haut risque
69.22,1,5.0,0,69.22,1,0.78554666,1,Rouge — Haut risque
102.74,1,5.0,0,102.74,1,0.99998033,1,Rouge — Haut risque
42.69,1,5.0,0,42.69,0,0.13197881,0,Vert — Faible risque
260.36,1,4.0,0,260.36,1,0.9998228,1,Rouge — Haut risque
87.38,0,4.0,0,41.69,0,0.0012105469,0,Vert — Faible risque
211.6,1,5.0,0,211.6,1,0.99993694,1,Rouge — Haut risque
405.52,0,5.0,0,202.76,0,0.00019312036,0,Vert — Faible risque
279.7,1,4.0,0,279.7,1,0.9999224,1,Rouge — Haut risque
228.0,0,2.0,0,76.08,0,0.0007071977,0,Vert — Faible risque
827.1,1,4.0,0,827.1,0,0.08320491,0,Vert — Faible risque
50.07,1,5.0,0,50.07,1,0.99997497,1,Rouge — Haut risque
61.75,1,5.0,0,61.75,1,0.9038655,1,Rouge — Haut risque
255.47,1,5.0,0,255.47,1,0.36426798,0,Vert — Faible risque
163.68,1,5.0,0,163.68,1,0.9998492,1,Rouge — Haut risque
150.67,1,5.0,0,150.67,1,0.64508206,1,Jaune — Risque modéré
62.17,1,4.0,0,62.17,1,0.99988735,1,Rouge — Haut risque
59.06,1,4.0,0,59.06,1,0.8106255,1,Rouge — Haut risque
67.5,1,4.0,0,67.5,1,0.9999274,1,Rouge — Haut risque
43.17,1,5.0,0,43.17,0,0.03840783,0,Vert — Faible risque
25.29,1,5.0,0,25.29,0,0.44840306,0,Jaune — Risque modéré
38.53,1,5.0,0,38.53,1,0.9998024,1,Rouge — Haut risque
147.37,1,5.0,0,147.37,1,0.9998524,1,Rouge — Haut risque
224.55,1,5.0,0,224.55,1,0.7909416,1,Rouge — Haut risque
73.65,1,3.0,0,73.65,1,0.9999318,1,Rouge — Haut risque
43.22,1,5.0,0,43.22,0,0.14351359,0,Vert — Faible risque
34.05,1,5.0,0,34.05,1,0.69724685,1,Jaune — Risque modéré
39.48,1,3.0,0,39.48,0,0.058124192,0,Vert — Faible risque
215.7,1,2.0,0,215.7,1,0.99988604,1,Rouge — Haut risque
86.24,1,5.0,0,86.24,1,0.9998723,1,Rouge — Haut risque
268.48,1,5.0,0,268.48,1,0.99987364,1,Rouge — Haut risque
101.03,1,5.0,0,101.03,1,0.9999434,1,Rouge — Haut risque
94.6,0,5.0,0,39.51,0,0.0003558772,0,Vert — Faible risque
154.15,1,5.0,0,154.15,0,0.014114595,0,Vert — Faible risque
155.05,1,1.0,0,155.05,1,0.74670535,1,Rouge — Haut risque
46.18,1,5.0,0,46.18,0,0.1487714,0,Vert — Faible risque
45.53,1,5.0,0,45.53,1,0.99996674,1,Rouge — Haut risque
104.47,1,5.0,0,104.47,1,0.68064046,1,Jaune — Risque modéré
161.37,1,2.0,1,161.37,1,0.99996316,1,Rouge — Haut risque
130.92,1,5.0,0,130.92,1,0.67258584,1,Jaune — Risque modéré
69.05,1,4.0,0,69.05,1,0.99979943,1,Rouge — Haut risque
53.1,1,5.0,0,53.1,1,0.99995303,1,Rouge — Haut risque
176.65,1,1.0,1,176.65,1,0.99985707,1,Rouge — Haut risque
48.3,1,4.0,0,48.3,0,0.014881639,0,Vert — Faible risque
80.11,1,5.0,0,80.11,1,0.99995303,1,Rouge — Haut risque
24.75,1,5.0,0,24.75,1,0.9999896,1,Rouge — Haut risque
159.76,1,4.0,0,159.76,1,0.99984634,1,Rouge — Haut risque
138.5,1,4.0,0,138.5,1,0.9999342,1,Rouge — Haut risque
45.0,1,5.0,0,45.0,1,0.9999846,1,Rouge — Haut risque
200.37,1,5.0,0,200.37,0,0.115609795,0,Vert — Faible risque
220.28,1,5.0,0,220.28,1,0.60438967,1,Jaune — Risque modéré
28.13,1,5.0,0,28.13,0,0.10897849,0,Vert — Faible risque
219.74,1,5.0,0,219.74,1,0.9993629,1,Rouge — Haut risque
267.62,1,4.0,0,267.62,0,0.2687351,0,Vert — Faible risque
59.43,1,5.0,0,59.43,0,0.76193744,1,Rouge — Haut risque
206.08,1,5.0,0,206.08,1,0.99984205,1,Rouge — Haut risque
73.04,0,4.0,0,47.27,0,0.0006119317,0,Vert — Faible risque
69.97,1,5.0,0,69.97,0,0.45000905,0,Jaune — Risque modéré
30.44,1,4.0,0,30.44,1,0.9999429,1,Rouge — Haut risque
175.32,1,4.0,0,175.32,1,0.9999155,1,Rouge — Haut risque
46.22,1,1.0,1,46.22,1,0.7612598,1,Rouge — Haut risque
53.98,1,4.0,0,53.98,1,0.9999517,1,Rouge — Haut risque
58.13,1,5.0,0,58.13,1,0.9999771,1,Rouge — Haut risque
118.88,1,5.0,0,118.88,1,0.99986887,1,Rouge — Haut risque
51.93,1,5.0,0,51.93,0,0.16144502,0,Vert — Faible risque
76.08,1,4.0,0,76.08,1,0.8601116,1,Rouge — Haut risque
119.3,1,1.0,0,119.3,1,0.999918,1,Rouge — Haut risque
164.39,1,4.0,0,164.39,1,0.999879,1,Rouge — Haut risque
63.01,1,1.0,0,63.01,1,0.999977,1,Rouge — Haut risque
201.05,1,4.0,0,201.05,1,0.6353638,1,Jaune — Risque modéré
78.01,1,5.0,0,78.01,1,0.9998493,1,Rouge — Haut risque
90.17,1,5.0,0,90.17,1,0.9998896,1,Rouge — Haut risque
118.04,1,4.0,0,118.04,0,0.13140586,0,Vert — Faible risque
206.56,1,5.0,0,206.56,0,0.070348226,0,Vert — Faible risque
990.45,1,5.0,0,990.45,1,0.35075045,0,Vert — Faible risque
107.78,1,5.0,0,107.78,1,0.9999602,1,Rouge — Haut risque
61.09,1,5.0,0,61.09,1,0.9999776,1,Rouge — Haut risque
36.1,1,5.0,0,36.1,1,0.8954032,1,Rouge — Haut risque
63.71,1,4.0,0,63.71,0,0.1366051,0,Vert — Faible risque
112.83,1,5.0,0,112.83,0,0.07312359,0,Vert — Faible risque
43.22,1,5.0,0,43.22,1,0.9997278,1,Rouge — Haut risque
109.92,1,3.0,1,109.92,1,0.9999372,1,Rouge — Haut risque
1138.39,1,1.0,0,1138.39,1,0.7375278,1,Rouge — Haut risque
327.17,1,5.0,0,327.17,0,0.5868585,1,Jaune — Risque modéré
399.25,1,4.0,0,399.25,1,0.99965465,1,Rouge — Haut risque
214.14,1,1.0,1,214.14,1,0.9999075,1,Rouge — Haut risque
79.24,1,1.0,1,79.24,1,0.3857711,0,Vert — Faible risque
214.52,1,5.0,0,214.52,1,0.99979275,1,Rouge — Haut risque
127.37,1,5.0,0,127.37,0,0.21033518,0,Vert — Faible risque
116.36,1,5.0,0,116.36,1,0.9998648,1,Rouge — Haut risque
47.6,1,5.0,0,47.6,0,0.0006060754,0,Vert — Faible risque
52.68,1,5.0,0,52.68,1,0.53391236,1,Jaune — Risque modéré
223.22,1,1.0,0,223.22,1,0.6766663,1,Jaune — Risque modéré
57.1,1,1.0,1,57.1,1,0.99997747,1,Rouge — Haut risque
131.73,1,5.0,0,131.73,1,0.9995931,1,Rouge — Haut risque
27.76,1,3.0,0,27.76,1,0.9387885,1,Rouge — Haut risque
32.72,1,5.0,0,32.72,0,0.0073512737,0,Vert — Faible risque
186.0,1,2.0,1,186.0,1,0.53309524,1,Jaune — Risque modéré
33.54,1,5.0,0,33.54,1,0.99988186,1,Rouge — Haut risque
245.68,1,5.0,0,245.68,1,0.745863,1,Rouge — Haut risque
109.5,1,1.0,0,109.5,1,0.25914705,0,Vert — Faible risque
180.62,1,5.0,0,180.62,1,0.9998078,1,Rouge — Haut risque
96.8,1,5.0,0,96.8,1,0.87200266,1,Rouge — Haut risque
114.52,1,5.0,0,114.52,0,0.16239554,0,Vert — Faible risque
47.44,1,4.0,0,47.44,0,0.0255967,0,Vert — Faible risque
220.66,1,4.0,0,220.66,0,0.5055672,1,Jaune — Risque modéré
58.71,1,5.0,0,58.71,1,0.7007503,1,Rouge — Haut risque
495.33,0,4.0,0,155.26,0,0.00048849045,0,Vert — Faible risque
364.46,1,5.0,0,364.46,1,0.9998975,1,Rouge — Haut risque
62.7,1,5.0,0,62.7,1,0.9999614,1,Rouge — Haut risque
109.5,1,5.0,0,109.5,1,0.14616394,0,Vert — Faible risque
48.81,1,5.0,0,48.81,0,0.04863943,0,Vert — Faible risque
58.62,1,3.0,0,58.62,1,0.99991286,1,Rouge — Haut risque
54.3,1,5.0,0,54.3,1,0.99992096,1,Rouge — Haut risque
201.18,1,1.0,0,201.18,1,0.771487,1,Rouge — Haut risque
93.78,0,3.0,0,62.52,0,0.0005523499,0,Vert — Faible risque
153.2,1,1.0,0,153.2,1,0.99993503,1,Rouge — Haut risque
188.4,1,1.0,1,188.4,1,0.9999026,1,Rouge — Haut risque
348.77,1,4.0,0,348.77,1,0.85316896,1,Rouge — Haut risque
136.83,1,3.0,0,136.83,1,0.99990404,1,Rouge — Haut risque
140.04,1,5.0,1,140.04,0,0.5802525,1,Jaune — Risque modéré
194.91,1,1.0,1,194.91,1,0.9999181,1,Rouge — Haut risque
46.01,1,1.0,1,46.01,1,0.99995244,1,Rouge — Haut risque
22.29,1,5.0,0,22.29,0,0.0008529014,0,Vert — Faible risque
49.7,1,5.0,0,49.7,1,0.9034153,1,Rouge — Haut risque
82.5,1,4.0,0,82.5,1,0.76667076,1,Rouge — Haut risque
84.16,1,5.0,0,84.16,1,0.9998448,1,Rouge — Haut risque
129.56,0,5.0,0,64.78,0,4.5746452e-05,0,Vert — Faible risque
158.04,1,5.0,0,158.04,1,0.25786707,0,Vert — Faible risque
111.67,1,5.0,0,111.67,1,0.6151868,1,Jaune — Risque modéré
62.44,1,1.0,0,62.44,0,0.16622086,0,Vert — Faible risque
1056.12,0,5.0,0,208.74,0,0.00027030875,0,Vert — Faible risque
58.94,1,5.0,0,58.94,0,0.071674615,0,Vert — Faible risque
757.97,1,3.0,0,757.97,1,0.74202543,1,Rouge — Haut risque
166.67,1,3.0,0,166.67,1,0.74529296,1,Rouge — Haut risque
44.59,1,5.0,0,44.59,1,0.8930848,1,Rouge — Haut risque
373.3,1,3.0,1,373.3,1,0.9998492,1,Rouge — Haut risque
35.45,1,4.0,0,35.45,0,0.035466623,0,Vert — Faible risque
139.8,1,3.0,0,139.8,1,0.6284368,1,Jaune — Risque modéré
312.64,1,4.0,0,312.64,0,0.28738284,0,Vert — Faible risque
78.65,1,5.0,0,78.65,1,0.9999387,1,Rouge — Haut risque
74.51,1,3.0,0,74.51,0,0.03304388,0,Vert — Faible risque
54.33,1,5.0,0,54.33,0,0.042707127,0,Vert — Faible risque
144.67,1,5.0,0,144.67,1,0.795079,1,Rouge — Haut risque
76.34,1,5.0,0,76.34,1,0.9998109,1,Rouge — Haut risque
104.37,1,5.0,0,104.37,1,0.99995816,1,Rouge — Haut risque
102.97,1,5.0,0,102.97,1,0.9997968,1,Rouge — Haut risque
399.49,1,4.0,0,399.49,0,0.35636878,0,Vert — Faible risque
63.89,1,3.0,0,63.89,0,0.06057283,0,Vert — Faible risque
195.91,1,5.0,0,195.91,1,0.9998735,1,Rouge — Haut risque
114.78,1,5.0,0,114.78,1,0.99986494,1,Rouge — Haut risque
159.6,1,5.0,0,159.6,1,0.99989426,1,Rouge — Haut risque
256.33,1,3.0,0,256.33,1,0.8410339,1,Rouge — Haut risque
38.93,1,5.0,0,38.93,0,0.07367285,0,Vert — Faible risque
59.96,1,5.0,0,59.96,1,0.99994683,1,Rouge — Haut risque
95.21,1,4.0,0,95.21,1,0.99991775,1,Rouge — Haut risque
148.79,1,4.0,0,148.79,0,0.59693193,1,Jaune — Risque modéré
110.66,1,1.0,0,110.66,0,0.34086853,0,Vert — Faible risque
1032.35,1,5.0,0,1032.35,1,0.42059132,0,Jaune — Risque modéré
48.13,1,4.0,0,48.13,1,0.55315137,1,Jaune — Risque modéré
74.17,1,5.0,0,74.17,0,0.0467166,0,Vert — Faible risque
193.57,1,3.0,0,193.57,1,0.99990237,1,Rouge — Haut risque
147.07,1,5.0,0,147.07,0,0.2810832,0,Vert — Faible risque
107.53,1,1.0,1,107.53,1,0.9998903,1,Rouge — Haut risque
32.29,1,5.0,0,32.29,0,0.5350936,1,Jaune — Risque modéré
270.09,1,5.0,0,270.09,1,0.99987745,1,Rouge — Haut risque
32.7,1,1.0,0,32.7,0,0.04250476,0,Vert — Faible risque
41.5,1,4.0,0,41.5,1,0.9998957,1,Rouge — Haut risque
33.37,1,4.0,0,33.37,1,0.99989116,1,Rouge — Haut risque
91.09,1,5.0,0,91.09,0,0.014046493,0,Vert — Faible risque
160.49,1,5.0,0,160.49,0,0.18535627,0,Vert — Faible risque
151.89,1,3.0,0,151.89,0,0.29196283,0,Vert — Faible risque
60.52,1,4.0,0,60.52,1,0.998418,1,Rouge — Haut risque
185.14,1,5.0,0,185.14,1,0.9997845,1,Rouge — Haut risque
382.43,1,3.0,0,382.43,1,0.5558849,1,Jaune — Risque modéré
146.35,1,4.0,0,146.35,1,0.7455107,1,Rouge — Haut risque
54.0,1,2.0,0,54.0,1,0.9998982,1,Rouge — Haut risque
146.59,1,5.0,0,146.59,1,0.9998877,1,Rouge — Haut risque
115.32,1,4.0,0,115.32,1,0.5955589,1,Jaune — Risque modéré
428.58,1,5.0,0,428.58,0,0.29763848,0,Vert — Faible risque
195.0,1,4.0,0,195.0,1,0.16886291,0,Vert — Faible risque
35.01,1,4.0,0,35.01,1,0.9999708,1,Rouge — Haut risque
85.41,1,3.0,0,85.41,0,0.008908061,0,Vert — Faible risque
328.67,1,5.0,0,328.67,1,0.1558678,0,Vert — Faible risque
86.94,1,5.0,1,86.94,0,0.14766125,0,Vert — Faible risque
105.32,1,5.0,0,105.32,0,0.054869954,0,Vert — Faible risque
147.7,1,5.0,0,147.7,0,0.048657753,0,Vert — Faible risque
101.14,1,4.0,0,101.14,1,0.9999244,1,Rouge — Haut risque
103.87,1,5.0,0,103.87,1,0.7560258,1,Rouge — Haut risque
62.66,1,5.0,0,62.66,0,0.18460137,0,Vert — Faible risque
30.77,1,4.0,0,30.77,1,0.69768065,1,Jaune — Risque modéré
1474.76,1,5.0,0,1474.76,0,0.07096806,0,Vert — Faible risque
107.84,1,5.0,0,107.84,1,0.9997701,1,Rouge — Haut risque
100.18,1,1.0,0,100.18,1,0.5358595,1,Jaune — Risque modéré
362.17,1,5.0,0,362.17,0,0.41069055,0,Jaune — Risque modéré
40.63,1,3.0,0,40.63,1,0.9999268,1,Rouge — Haut risque
88.08,1,5.0,0,88.08,1,0.9996494,1,Rouge — Haut risque
67.36,1,4.0,0,67.36,1,0.99973494,1,Rouge — Haut risque
178.22,1,5.0,0,178.22,0,0.10712028,0,Vert — Faible risque
405.33,1,3.0,0,405.33,0,0.13426767,0,Vert — Faible risque
68.4,1,4.0,0,68.4,0,0.04607205,0,Vert — Faible risque
254.88,1,1.0,1,254.88,1,0.9999198,1,Rouge — Haut risque
211.51,1,1.0,0,211.51,1,0.99986815,1,Rouge — Haut risque
105.28,1,5.0,0,105.28,1,0.70375717,1,Rouge — Haut risque
204.92,1,5.0,0,204.92,0,0.1515364,0,Vert — Faible risque
81.72,1,4.0,0,81.72,1,0.6984078,1,Jaune — Risque modéré
108.26,1,5.0,0,108.26,1,0.9998573,1,Rouge — Haut risque
149.65,1,5.0,0,149.65,1,0.99958533,1,Rouge — Haut risque
101.31,1,5.0,0,101.31,1,0.9998635,1,Rouge — Haut risque
238.04,0,5.0,0,197.03,0,0.0003350194,0,Vert — Faible risque
200.61,1,5.0,0,200.61,1,0.99980706,1,Rouge — Haut risque
553.04,1,5.0,0,553.04,1,0.47642654,0,Jaune — Risque modéré
63.6,1,4.0,0,63.6,1,0.99995756,1,Rouge — Haut risque
75.08,1,5.0,0,75.08,1,0.9999701,1,Rouge — Haut risque
69.9,1,5.0,0,69.9,0,0.14249252,0,Vert — Faible risque
122.42,1,5.0,0,122.42,0,0.4747633,0,Jaune — Risque modéré
80.52,1,5.0,0,80.52,1,0.99982685,1,Rouge — Haut risque
188.06,1,5.0,0,188.06,0,0.5723271,1,Jaune — Risque modéré
91.4,0,4.0,0,34.82,0,0.0008483491,0,Vert — Faible risque
165.77,1,5.0,0,165.77,1,0.35370213,0,Vert — Faible risque
58.72,1,5.0,0,58.72,1,0.85310614,1,Rouge — Haut risque
141.4,1,5.0,0,141.4,1,0.9999335,1,Rouge — Haut risque
72.76,1,5.0,0,72.76,1,0.6438253,1,Jaune — Risque modéré
84.56,1,5.0,0,84.56,0,0.08028926,0,Vert — Faible risque
914.68,1,1.0,0,914.68,1,0.999516,1,Rouge — Haut risque
44.72,1,5.0,0,44.72,1,0.45785445,0,Jaune — Risque modéré
150.12,1,5.0,0,150.12,0,0.031888843,0,Vert — Faible risque
145.47,0,4.5,0,106.38,0,7.956171e-05,0,Vert — Faible risque
48.59,1,1.0,0,48.59,1,0.9044792,1,Rouge — Haut risque
38.71,1,4.0,0,38.71,1,0.9999356,1,Rouge — Haut risque
69.66,1,2.0,0,69.66,1,0.9999565,1,Rouge — Haut risque
91.16,1,5.0,0,91.16,1,0.4390663,0,Jaune — Risque modéré
622.56,0,4.0,0,432.18,0,0.00024946814,0,Vert — Faible risque
60.22,1,5.0,0,60.22,1,0.6588505,1,Jaune — Risque modéré
139.61,1,5.0,0,139.61,1,0.99991167,1,Rouge — Haut risque
246.5,1,1.0,0,246.5,1,0.99990463,1,Rouge — Haut risque
107.72,1,5.0,0,107.72,0,0.040149007,0,Vert — Faible risque
37.74,1,1.0,0,37.74,0,0.25329864,0,Vert — Faible risque
281.96,1,5.0,0,281.96,1,0.99994373,1,Rouge — Haut risque
59.56,1,5.0,0,59.56,0,0.011953306,0,Vert — Faible risque
1966.91,1,5.0,0,1966.91,1,0.99993753,1,Rouge — Haut risque
1226.18,1,4.0,0,1226.18,1,0.9999093,1,Rouge — Haut risque
102.64,1,5.0,0,102.64,1,0.99982005,1,Rouge — Haut risque
189.36,0,5.0,0,89.03,0,0.00051458686,0,Vert — Faible risque
34.93,1,1.0,0,34.93,1,0.99998724,1,Rouge — Haut risque
40.4,1,5.0,0,40.4,1,0.99998796,1,Rouge — Haut risque
86.02,1,4.0,0,86.02,1,0.772527,1,Rouge — Haut risque
75.01,1,4.0,0,75.01,1,0.9999448,1,Rouge — Haut risque
109.29,1,1.0,0,109.29,1,0.8521072,1,Rouge — Haut risque
34.78,1,4.0,0,34.78,1,0.3955697,0,Vert — Faible risque
142.1,1,3.0,0,142.1,1,0.99993324,1,Rouge — Haut risque
148.94,1,4.0,0,148.94,1,0.6053611,1,Jaune — Risque modéré
170.0,1,2.0,0,170.0,0,0.37469357,0,Vert — Faible risque
455.39,1,5.0,0,455.39,1,0.99966526,1,Rouge — Haut risque
58.1,1,5.0,0,58.1,1,0.9812589,1,Rouge — Haut risque
35.42,1,5.0,0,35.42,1,0.99990857,1,Rouge — Haut risque
186.82,1,5.0,0,186.82,1,0.9996915,1,Rouge — Haut risque
29.74,1,1.0,0,29.74,1,0.5742882,1,Jaune — Risque modéré
585.12,1,5.0,0,585.12,1,0.48877388,0,Jaune — Risque modéré
329.22,1,5.0,1,329.22,1,0.99984944,1,Rouge — Haut risque
74.33,1,5.0,0,74.33,1,0.99971896,1,Rouge — Haut risque
199.0,1,5.0,0,199.0,0,0.046080727,0,Vert — Faible risque
113.26,1,5.0,0,113.26,0,0.10973754,0,Vert — Faible risque
170.43,1,5.0,0,170.43,1,0.99994445,1,Rouge — Haut risque
138.62,1,5.0,0,138.62,0,0.06165883,0,Vert — Faible risque
205.88,1,5.0,0,205.88,1,0.9998275,1,Rouge — Haut risque
128.54,1,5.0,0,128.54,0,0.024024444,0,Vert — Faible risque
202.76,1,5.0,0,202.76,0,0.10834421,0,Vert — Faible risque
247.38,1,2.0,0,247.38,0,0.2296988,0,Vert — Faible risque
39.48,1,4.0,0,39.48,0,0.04685108,0,Vert — Faible risque
331.74,1,1.0,1,331.74,1,0.9998841,1,Rouge — Haut risque
379.71,1,5.0,0,379.71,1,0.7698831,1,Rouge — Haut risque
96.8,1,5.0,0,96.8,1,0.9999335,1,Rouge — Haut risque
138.14,1,5.0,0,138.14,0,0.04002368,0,Vert — Faible risque
75.85,1,3.0,1,75.85,1,0.99993825,1,Rouge — Haut risque
110.77,1,5.0,0,110.77,0,0.33194378,0,Vert — Faible risque
66.81,1,5.0,0,66.81,1,0.9996828,1,Rouge — Haut risque
98.54,1,3.0,0,98.54,1,0.7102124,1,Rouge — Haut risque
126.11,1,2.0,0,126.11,1,0.5333224,1,Jaune — Risque modéré
47.52,1,5.0,0,47.52,1,0.99962723,1,Rouge — Haut risque
1675.68,0,5.0,0,837.84,0,0.0020889272,0,Vert — Faible risque
128.22,1,4.0,0,128.22,1,0.7130049,1,Rouge — Haut risque
